Date,1 YR,Open,High,Low,Close,Adj Close,Volume,iv30, Open, High, Low, Close,stockpx,put,call,straddle
1999-03-05,4.84,24.780001000000002,25.440001000000002,24.08,24.08,24.08,0,24.08,1246.64,1275.68,1246.64,1275.47,1275.47,13.916918116371335,14.762291920388975,28.67921003676031
1999-03-08,4.83,24.870001000000002,25.209999,24.48,24.540001,24.540001,0,24.540001,1275.47,1282.73,1271.58,1282.73,1282.73,14.272324795319605,15.120754482492202,29.393079277811808
1999-03-09,4.76,25.280001000000002,25.290001,24.25,25.02,25.02,0,25.02,1282.73,1293.74,1274.76,1279.84,1279.84,14.532906849944197,15.36716063901315,29.900067488957347
1999-03-10,4.75,24.860001,25.389999,24.610001,24.790001,24.790001,0,24.790001,1279.84,1287.03,1275.17,1286.84,1286.84,14.475165975475761,15.312221013652334,29.787386989128095
1999-03-11,4.77,24.309998999999998,24.98,23.82,24.370001000000002,24.370001000000002,0,24.370001000000002,1286.84,1306.41,1286.84,1297.68,1297.68,14.341023851193427,15.188682989931294,29.52970684112472
1999-03-12,4.76,24.790001,25.360001,24.74,24.84,24.84,0,24.84,1297.68,1304.58,1289.2,1294.59,1294.59,14.591664890667175,15.435533352967695,30.02719824363487
1999-03-15,4.76,25.809998999999998,25.9,25.18,25.24,25.24,0,25.24,1294.59,1307.54,1290.99,1307.26,1307.26,14.978463401171553,15.830590704817496,30.80905410598905
1999-03-16,4.74,25.34,25.559998999999998,24.98,25.15,25.15,0,25.15,1307.26,1311.13,1302.37,1306.36,1306.36,14.915068704505302,15.763032609718948,30.67810131422425
1999-03-17,4.74,24.93,26.49,24.9,25.57,25.57,0,25.57,1306.38,1306.77,1292.61,1297.82,1297.82,15.071908105348712,15.91432865976276,30.98623676511147
1999-03-18,4.72,25.139999,25.24,24.030001000000002,24.129998999999998,24.129998999999998,0,24.129998999999998,1297.82,1317.41,1294.74,1316.55,1316.55,14.406600469960608,15.257574098154805,29.664174568115413
1999-03-19,4.73,24.07,24.35,23.389999,24.32,24.32,0,24.32,1316.55,1323.88,1298.98,1299.29,1299.29,14.332036003037047,15.173632045559884,29.50566804859693
1999-03-22,4.77,25.299999,25.549999,24.799999,25.0,25.0,0,25.0,1299.29,1303.89,1294.22,1297.01,1297.01,14.714890275695211,15.562111762914355,30.277002038609567
1999-03-23,4.74,25.969998999999998,27.74,25.84,27.27,27.27,0,27.27,1297.01,1297.01,1257.5,1262.14,1262.14,15.658736921046852,16.477997433712744,32.1367343547596
1999-03-24,4.73,26.99,27.309998999999998,26.59,26.6,26.6,0,26.6,1262.14,1269.02,1256.52,1268.59,1268.59,15.34301901613162,16.16472958389113,31.50774860002275
1999-03-25,4.77,25.32,25.379998999999998,24.33,24.33,24.33,0,24.33,1268.59,1290.01,1268.59,1289.99,1289.99,14.231962330684723,15.074598275124572,29.306560605809295
1999-03-26,4.74,24.790001,24.809998999999998,23.83,24.040001,24.040001,0,24.040001,1289.99,1289.99,1277.29,1282.8,1282.8,13.981671599921924,14.814342607613412,28.796014207535336
1999-03-29,4.75,23.870001000000002,23.959999,23.450001,23.540001,23.540001,0,23.540001,1282.8,1311.8,1282.8,1310.17,1310.17,13.97343215657645,14.825662736421577,28.799094892998028
1999-03-30,4.72,24.34,24.34,22.709999,22.73,22.73,0,22.73,1310.17,1310.8,1295.53,1300.75,1300.75,13.384001026313399,14.224762066056314,27.608763092369713
1999-03-31,4.72,22.030001000000002,23.299999,22.0,23.26,23.26,0,23.26,1300.75,1313.53,1285.75,1286.37,1286.37,13.554154618637881,14.385620910157854,27.939775528795735
1999-04-01,4.73,22.870001000000002,22.870001000000002,22.059998999999998,22.059998999999998,22.059998999999998,0,22.059998999999998,1286.37,1294.44,1282.55,1293.72,1293.72,12.906348869575254,13.744337026285848,26.650685895861102
1999-04-05,4.67,22.879998999999998,23.200001,22.18,22.190001000000002,22.190001000000002,0,22.190001000000002,1293.72,1321.12,1293.72,1321.12,1321.12,13.265206170813144,14.110090743988621,27.375296914801766
1999-04-06,4.66,22.530001000000002,23.040001,22.120001000000002,22.65,22.65,0,22.65,1321.12,1326.76,1311.07,1317.89,1317.89,13.51653347530464,14.357548218751731,27.874081694056372
1999-04-07,4.69,22.530001000000002,23.26,22.1,22.809998999999998,22.809998999999998,0,22.809998999999998,1317.89,1329.58,1312.59,1326.89,1326.89,13.705197695805623,14.557405292956105,28.262602988761728
1999-04-08,4.64,23.379998999999998,23.51,22.01,22.59,22.59,0,22.59,1326.89,1344.08,1321.61,1344.0,1344.0,13.74851991349476,14.602516970609827,28.351036884104587
1999-04-09,4.63,22.16,22.59,21.549999,21.77,21.77,0,21.77,1343.98,1351.18,1335.23,1348.35,1348.35,13.278038663343864,14.132953891020406,27.41099255436427
1999-04-12,4.66,21.129998999999998,23.41,20.469998999999998,21.93,21.93,0,21.93,1348.35,1358.69,1333.07,1358.63,1358.63,13.477938090592033,14.344951165195994,27.822889255788027
1999-04-13,4.66,22.16,23.35,22.01,22.73,22.73,0,22.73,1358.64,1362.38,1344.03,1349.82,1349.82,13.894399958783879,14.755790910228939,28.650190869012818
1999-04-14,4.65,23.33,24.959999,23.07,24.940001000000002,24.940001000000002,0,24.940001000000002,1349.82,1357.08,1326.41,1328.44,1328.44,15.045126459836865,15.891055090950431,30.936181550787296
1999-04-15,4.66,25.219998999999998,26.24,23.91,23.93,23.93,0,23.93,1328.44,1333.6,1308.38,1322.13,1322.13,14.349669701180346,15.193390211051337,29.543059912231683
1999-04-16,4.71,24.07,24.24,23.6,23.9,23.9,0,23.9,1322.86,1325.12,1311.1,1319.0,1319.0,14.292752663225428,15.143504206330704,29.436256869556132
1999-04-19,4.69,23.59,26.5,22.93,26.42,26.42,0,26.42,1319.0,1340.02,1284.59,1289.48,1289.48,15.490884487318226,16.31906515969763,31.809949647015856
1999-04-20,4.67,25.84,26.09,24.790001,25.02,25.02,0,25.02,1289.48,1306.25,1288.28,1306.17,1306.17,14.839889590409939,15.675213317962516,30.515102908372455
1999-04-21,4.68,24.860001,24.879998999999998,23.309998999999998,23.309998999999998,23.309998999999998,0,23.309998999999998,1306.17,1336.12,1301.83,1336.12,1336.12,14.113158063974765,14.969464588445021,29.082622652419786
1999-04-22,4.73,22.42,22.809998999999998,22.4,22.620001000000002,22.620001000000002,0,22.620001000000002,1336.12,1358.96,1336.12,1358.83,1358.83,13.910948359246163,14.791110563574193,28.702058922820356
1999-04-23,4.71,22.6,23.129998999999998,22.370001000000002,22.76,22.76,0,22.76,1358.83,1363.7,1348.47,1356.85,1356.85,13.981152829547113,14.8563175234533,28.837470353000413
1999-04-26,4.72,23.93,23.940001000000002,23.209999,23.530001000000002,23.530001000000002,0,23.530001000000002,1356.85,1363.58,1353.76,1360.04,1360.04,14.501738604516163,15.380822705605397,29.88256131012156
