Id,stockpx,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_1,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_2,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_3,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_4,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_5,len,datetime,open,high,low,close,volume,openinterest,10dORHV,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,RSI_Oversold,len,rsi_os_30,RSI_Overbought,len,rsi_ob_70,LRSI_Oversold,len,lrsi_os_03,LRSI_Overbought,len,lrsi_ob_07,TSI_Oversold,len,tsi_os,TSI_Overbought,len,tsi_ob,AO_Oversold,len,ao_os,AO_Overbought,len,ao_ob,UO_Oversold,len,uo_os_30,UO_Overbought,len,uo_ob_60,CCI_Oversold,len,cci_os,CCI_Overbought,len,cci_ob,WR_Oversold,len,wr_os,WR_Overbought,len,wr_ob,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,stockpx,stockpx_lag_1,stockpx_lag_2,stockpx_lag_3,stockpx_lag_4,stockpx_lag_5,10dORHV
11,stockpx,11,2010-01-19 00:00:00,,16.959999,16.639999,16.75,15182600.0,,stockpx_lag_1,11,2010-01-19 00:00:00,,,,16.379998999999998,,,stockpx_lag_2,11,2010-01-19 00:00:00,,,,16.200001,,,stockpx_lag_3,11,2010-01-19 00:00:00,,,,15.88,,,stockpx_lag_4,11,2010-01-19 00:00:00,,,,15.86,,,stockpx_lag_5,11,2010-01-19 00:00:00,,,,15.99,,,10dORHV,11,2010-01-19 00:00:00,,,,18.94,,,TestStrategy,11,733791.0,RSI_Oversold,11,0.0,RSI_Overbought,11,0.0,LRSI_Oversold,11,0.0,LRSI_Overbought,11,1.0,TSI_Oversold,11,,TSI_Overbought,11,,AO_Oversold,11,,AO_Overbought,11,,UO_Oversold,11,,UO_Overbought,11,,CCI_Oversold,11,0.0,CCI_Overbought,11,0.0,WR_Oversold,11,0.0,WR_Overbought,11,0.0,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,BuySell,11,,,BuySell,11,,,BuySell,11,,,BuySell,11,,,BuySell,11,,,DataTrades,11,,,,,,,
12,stockpx,12,2010-01-20 00:00:00,,16.68,16.25,16.379998999999998,14419500.0,,stockpx_lag_1,12,2010-01-20 00:00:00,,,,16.200001,,,stockpx_lag_2,12,2010-01-20 00:00:00,,,,15.88,,,stockpx_lag_3,12,2010-01-20 00:00:00,,,,15.86,,,stockpx_lag_4,12,2010-01-20 00:00:00,,,,15.99,,,stockpx_lag_5,12,2010-01-20 00:00:00,,,,15.98,,,10dORHV,12,2010-01-20 00:00:00,,,,19.92,,,TestStrategy,12,733792.0,RSI_Oversold,12,1.0,RSI_Overbought,12,0.0,LRSI_Oversold,12,0.0,LRSI_Overbought,12,1.0,TSI_Oversold,12,,TSI_Overbought,12,,AO_Oversold,12,,AO_Overbought,12,,UO_Oversold,12,,UO_Overbought,12,,CCI_Oversold,12,1.0,CCI_Overbought,12,0.0,WR_Oversold,12,1.0,WR_Overbought,12,0.0,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,BuySell,12,,,BuySell,12,,,BuySell,12,,,BuySell,12,,,BuySell,12,,,DataTrades,12,,,,,,,
13,stockpx,13,2010-01-21 00:00:00,,16.58,16.1,16.200001,21858400.0,,stockpx_lag_1,13,2010-01-21 00:00:00,,,,15.88,,,stockpx_lag_2,13,2010-01-21 00:00:00,,,,15.86,,,stockpx_lag_3,13,2010-01-21 00:00:00,,,,15.99,,,stockpx_lag_4,13,2010-01-21 00:00:00,,,,15.98,,,stockpx_lag_5,13,2010-01-21 00:00:00,,,,15.44,,,10dORHV,13,2010-01-21 00:00:00,,,,20.31,,,TestStrategy,13,733793.0,RSI_Oversold,13,1.0,RSI_Overbought,13,0.0,LRSI_Oversold,13,0.0,LRSI_Overbought,13,1.0,TSI_Oversold,13,0.0,TSI_Overbought,13,1.0,AO_Oversold,13,,AO_Overbought,13,,UO_Oversold,13,,UO_Overbought,13,,CCI_Oversold,13,1.0,CCI_Overbought,13,0.0,WR_Oversold,13,1.0,WR_Overbought,13,0.0,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,BuySell,13,,,BuySell,13,,,BuySell,13,,,BuySell,13,,,BuySell,13,,,DataTrades,13,,,,,,,
14,stockpx,14,2010-01-22 00:00:00,,16.209999,15.81,15.88,25132800.0,,stockpx_lag_1,14,2010-01-22 00:00:00,,,,15.86,,,stockpx_lag_2,14,2010-01-22 00:00:00,,,,15.99,,,stockpx_lag_3,14,2010-01-22 00:00:00,,,,15.98,,,stockpx_lag_4,14,2010-01-22 00:00:00,,,,15.44,,,stockpx_lag_5,14,2010-01-22 00:00:00,,,,15.01,,,10dORHV,14,2010-01-22 00:00:00,,,,19.38,,,TestStrategy,14,733794.0,RSI_Oversold,14,1.0,RSI_Overbought,14,0.0,LRSI_Oversold,14,0.0,LRSI_Overbought,14,1.0,TSI_Oversold,14,0.0,TSI_Overbought,14,1.0,AO_Oversold,14,,AO_Overbought,14,,UO_Oversold,14,,UO_Overbought,14,,CCI_Oversold,14,1.0,CCI_Overbought,14,0.0,WR_Oversold,14,1.0,WR_Overbought,14,0.0,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,BuySell,14,,,BuySell,14,,,BuySell,14,,,BuySell,14,,,BuySell,14,,,DataTrades,14,,,,,,,
15,stockpx,15,2010-01-25 00:00:00,,16.110001,15.74,15.86,19683700.0,,stockpx_lag_1,15,2010-01-25 00:00:00,,,,15.99,,,stockpx_lag_2,15,2010-01-25 00:00:00,,,,15.98,,,stockpx_lag_3,15,2010-01-25 00:00:00,,,,15.44,,,stockpx_lag_4,15,2010-01-25 00:00:00,,,,15.01,,,stockpx_lag_5,15,2010-01-25 00:00:00,,,,15.05,,,10dORHV,15,2010-01-25 00:00:00,,,,20.83,,,TestStrategy,15,733797.0,RSI_Oversold,15,1.0,RSI_Overbought,15,0.0,LRSI_Oversold,15,0.0,LRSI_Overbought,15,1.0,TSI_Oversold,15,0.0,TSI_Overbought,15,1.0,AO_Oversold,15,,AO_Overbought,15,,UO_Oversold,15,,UO_Overbought,15,,CCI_Oversold,15,1.0,CCI_Overbought,15,0.0,WR_Oversold,15,1.0,WR_Overbought,15,0.0,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,BuySell,15,,,BuySell,15,,,BuySell,15,,,BuySell,15,,,BuySell,15,,,DataTrades,15,,,,,,,
16,stockpx,16,2010-01-26 00:00:00,,16.17,15.7,15.99,43979400.0,,stockpx_lag_1,16,2010-01-26 00:00:00,,,,15.98,,,stockpx_lag_2,16,2010-01-26 00:00:00,,,,15.44,,,stockpx_lag_3,16,2010-01-26 00:00:00,,,,15.01,,,stockpx_lag_4,16,2010-01-26 00:00:00,,,,15.05,,,stockpx_lag_5,16,2010-01-26 00:00:00,,,,15.17,,,10dORHV,16,2010-01-26 00:00:00,,,,22.32,,,TestStrategy,16,733798.0,RSI_Oversold,16,1.0,RSI_Overbought,16,0.0,LRSI_Oversold,16,0.0,LRSI_Overbought,16,1.0,TSI_Oversold,16,0.0,TSI_Overbought,16,1.0,AO_Oversold,16,,AO_Overbought,16,,UO_Oversold,16,,UO_Overbought,16,,CCI_Oversold,16,0.0,CCI_Overbought,16,0.0,WR_Oversold,16,1.0,WR_Overbought,16,0.0,Broker,16,100000.0,100000.0,BuySell,16,,,BuySell,16,,,BuySell,16,,,BuySell,16,,,BuySell,16,,,BuySell,16,,,BuySell,16,,,DataTrades,16,,,,,,,
17,stockpx,17,2010-01-27 00:00:00,,16.49,15.77,15.98,41701000.0,,stockpx_lag_1,17,2010-01-27 00:00:00,,,,15.44,,,stockpx_lag_2,17,2010-01-27 00:00:00,,,,15.01,,,stockpx_lag_3,17,2010-01-27 00:00:00,,,,15.05,,,stockpx_lag_4,17,2010-01-27 00:00:00,,,,15.17,,,stockpx_lag_5,17,2010-01-27 00:00:00,,,,15.46,,,10dORHV,17,2010-01-27 00:00:00,,,,25.89,,,TestStrategy,17,733799.0,RSI_Oversold,17,1.0,RSI_Overbought,17,0.0,LRSI_Oversold,17,0.0,LRSI_Overbought,17,1.0,TSI_Oversold,17,0.0,TSI_Overbought,17,1.0,AO_Oversold,17,,AO_Overbought,17,,UO_Oversold,17,,UO_Overbought,17,,CCI_Oversold,17,0.0,CCI_Overbought,17,0.0,WR_Oversold,17,1.0,WR_Overbought,17,0.0,Broker,17,100000.0,100000.0,BuySell,17,,,BuySell,17,,,BuySell,17,,,BuySell,17,,,BuySell,17,,,BuySell,17,,,BuySell,17,,,DataTrades,17,,,,,,,
18,stockpx,18,2010-01-28 00:00:00,,15.96,15.44,15.44,30159500.0,,stockpx_lag_1,18,2010-01-28 00:00:00,,,,15.01,,,stockpx_lag_2,18,2010-01-28 00:00:00,,,,15.05,,,stockpx_lag_3,18,2010-01-28 00:00:00,,,,15.17,,,stockpx_lag_4,18,2010-01-28 00:00:00,,,,15.46,,,stockpx_lag_5,18,2010-01-28 00:00:00,,,,15.01,,,10dORHV,18,2010-01-28 00:00:00,,,,28.39,,,TestStrategy,18,733800.0,RSI_Oversold,18,1.0,RSI_Overbought,18,0.0,LRSI_Oversold,18,0.0,LRSI_Overbought,18,1.0,TSI_Oversold,18,0.0,TSI_Overbought,18,1.0,AO_Oversold,18,,AO_Overbought,18,,UO_Oversold,18,,UO_Overbought,18,,CCI_Oversold,18,0.0,CCI_Overbought,18,0.0,WR_Oversold,18,1.0,WR_Overbought,18,0.0,Broker,18,100000.0,100000.0,BuySell,18,,,BuySell,18,,,BuySell,18,,,BuySell,18,,,BuySell,18,,,BuySell,18,,,BuySell,18,,,DataTrades,18,,,,,,,
19,stockpx,19,2010-01-29 00:00:00,,15.67,14.9,15.01,39664600.0,,stockpx_lag_1,19,2010-01-29 00:00:00,,,,15.05,,,stockpx_lag_2,19,2010-01-29 00:00:00,,,,15.17,,,stockpx_lag_3,19,2010-01-29 00:00:00,,,,15.46,,,stockpx_lag_4,19,2010-01-29 00:00:00,,,,15.01,,,stockpx_lag_5,19,2010-01-29 00:00:00,,,,15.19,,,10dORHV,19,2010-01-29 00:00:00,,,,29.18,,,TestStrategy,19,733801.0,RSI_Oversold,19,1.0,RSI_Overbought,19,0.0,LRSI_Oversold,19,0.0,LRSI_Overbought,19,0.0,TSI_Oversold,19,0.0,TSI_Overbought,19,1.0,AO_Oversold,19,,AO_Overbought,19,,UO_Oversold,19,,UO_Overbought,19,,CCI_Oversold,19,1.0,CCI_Overbought,19,0.0,WR_Oversold,19,1.0,WR_Overbought,19,0.0,Broker,19,100000.0,100000.0,BuySell,19,,,BuySell,19,,,BuySell,19,,,BuySell,19,,,BuySell,19,,,BuySell,19,,,BuySell,19,,,DataTrades,19,,,,,,,
20,stockpx,20,2010-02-01 00:00:00,,15.3,14.87,15.05,29865700.0,,stockpx_lag_1,20,2010-02-01 00:00:00,,,,15.17,,,stockpx_lag_2,20,2010-02-01 00:00:00,,,,15.46,,,stockpx_lag_3,20,2010-02-01 00:00:00,,,,15.01,,,stockpx_lag_4,20,2010-02-01 00:00:00,,,,15.19,,,stockpx_lag_5,20,2010-02-01 00:00:00,,,,14.99,,,10dORHV,20,2010-02-01 00:00:00,,,,28.82,,,TestStrategy,20,733804.0,RSI_Oversold,20,1.0,RSI_Overbought,20,0.0,LRSI_Oversold,20,0.0,LRSI_Overbought,20,0.0,TSI_Oversold,20,0.0,TSI_Overbought,20,1.0,AO_Oversold,20,,AO_Overbought,20,,UO_Oversold,20,,UO_Overbought,20,,CCI_Oversold,20,1.0,CCI_Overbought,20,0.0,WR_Oversold,20,1.0,WR_Overbought,20,0.0,Broker,20,100000.0,100000.0,BuySell,20,,,BuySell,20,,,BuySell,20,,,BuySell,20,,,BuySell,20,,,BuySell,20,,,BuySell,20,,,DataTrades,20,,,,,,,
21,stockpx,21,2010-02-02 00:00:00,,15.32,15.03,15.17,27555200.0,,stockpx_lag_1,21,2010-02-02 00:00:00,,,,15.46,,,stockpx_lag_2,21,2010-02-02 00:00:00,,,,15.01,,,stockpx_lag_3,21,2010-02-02 00:00:00,,,,15.19,,,stockpx_lag_4,21,2010-02-02 00:00:00,,,,14.99,,,stockpx_lag_5,21,2010-02-02 00:00:00,,,,15.07,,,10dORHV,21,2010-02-02 00:00:00,,,,29.59,,,TestStrategy,21,733805.0,RSI_Oversold,21,1.0,RSI_Overbought,21,0.0,LRSI_Oversold,21,1.0,LRSI_Overbought,21,0.0,TSI_Oversold,21,0.0,TSI_Overbought,21,1.0,AO_Oversold,21,,AO_Overbought,21,,UO_Oversold,21,,UO_Overbought,21,,CCI_Oversold,21,0.0,CCI_Overbought,21,0.0,WR_Oversold,21,1.0,WR_Overbought,21,0.0,Broker,21,100000.0,100000.0,BuySell,21,,,BuySell,21,,,BuySell,21,,,BuySell,21,,,BuySell,21,,,BuySell,21,,,BuySell,21,,,DataTrades,21,,,,,,,
22,stockpx,22,2010-02-03 00:00:00,,15.6,15.12,15.46,24730600.0,,stockpx_lag_1,22,2010-02-03 00:00:00,,,,15.01,,,stockpx_lag_2,22,2010-02-03 00:00:00,,,,15.19,,,stockpx_lag_3,22,2010-02-03 00:00:00,,,,14.99,,,stockpx_lag_4,22,2010-02-03 00:00:00,,,,15.07,,,stockpx_lag_5,22,2010-02-03 00:00:00,,,,14.8,,,10dORHV,22,2010-02-03 00:00:00,,,,28.74,,,TestStrategy,22,733806.0,RSI_Oversold,22,0.0,RSI_Overbought,22,0.0,LRSI_Oversold,22,1.0,LRSI_Overbought,22,0.0,TSI_Oversold,22,0.0,TSI_Overbought,22,1.0,AO_Oversold,22,,AO_Overbought,22,,UO_Oversold,22,,UO_Overbought,22,,CCI_Oversold,22,0.0,CCI_Overbought,22,0.0,WR_Oversold,22,0.0,WR_Overbought,22,0.0,Broker,22,100000.0,100000.0,BuySell,22,,,BuySell,22,,,BuySell,22,,,BuySell,22,,,BuySell,22,,,BuySell,22,,,BuySell,22,,,DataTrades,22,,,,,,,
23,stockpx,23,2010-02-04 00:00:00,,15.52,14.99,15.01,27668100.0,,stockpx_lag_1,23,2010-02-04 00:00:00,,,,15.19,,,stockpx_lag_2,23,2010-02-04 00:00:00,,,,14.99,,,stockpx_lag_3,23,2010-02-04 00:00:00,,,,15.07,,,stockpx_lag_4,23,2010-02-04 00:00:00,,,,14.8,,,stockpx_lag_5,23,2010-02-04 00:00:00,,,,15.22,,,10dORHV,23,2010-02-04 00:00:00,,,,31.07,,,TestStrategy,23,733807.0,RSI_Oversold,23,1.0,RSI_Overbought,23,0.0,LRSI_Oversold,23,1.0,LRSI_Overbought,23,0.0,TSI_Oversold,23,0.0,TSI_Overbought,23,1.0,AO_Oversold,23,,AO_Overbought,23,,UO_Oversold,23,,UO_Overbought,23,,CCI_Oversold,23,0.0,CCI_Overbought,23,0.0,WR_Oversold,23,1.0,WR_Overbought,23,0.0,Broker,23,100000.0,100000.0,BuySell,23,,,BuySell,23,,,BuySell,23,,,BuySell,23,,,BuySell,23,,,BuySell,23,,,BuySell,23,,,DataTrades,23,,,,,,,
