Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,Bollinger_Breakout,len,breakout,Bollinger_Breakdown,len,breakdown,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
15,10dORHV,15,2010-01-25 00:00:00,,,,28.31,,,stockpx,15,2010-01-25 00:00:00,,,,202.8,,,HVStrategy,15,733797.0,Bollinger_Breakout,15,,Bollinger_Breakdown,15,,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,10dORHV,16,2010-01-26 00:00:00,,,,32.33,,,stockpx,16,2010-01-26 00:00:00,,,,205.87,,,HVStrategy,16,733798.0,Bollinger_Breakout,16,,Bollinger_Breakdown,16,,Broker,16,100000.0,100000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,10dORHV,17,2010-01-27 00:00:00,,,,33.6,,,stockpx,17,2010-01-27 00:00:00,,,,208.27,,,HVStrategy,17,733799.0,Bollinger_Breakout,17,,Bollinger_Breakdown,17,,Broker,17,100000.0,100000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,10dORHV,18,2010-01-28 00:00:00,,,,33.78,,,stockpx,18,2010-01-28 00:00:00,,,,199.22,,,HVStrategy,18,733800.0,Bollinger_Breakout,18,,Bollinger_Breakdown,18,,Broker,18,100000.0,100000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,10dORHV,19,2010-01-29 00:00:00,,,,35.66,,,stockpx,19,2010-01-29 00:00:00,,,,192.66,,,HVStrategy,19,733801.0,Bollinger_Breakout,19,,Bollinger_Breakdown,19,,Broker,19,100000.0,100000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,10dORHV,20,2010-02-01 00:00:00,,,,35.21,,,stockpx,20,2010-02-01 00:00:00,,,,194.58,,,HVStrategy,20,733804.0,Bollinger_Breakout,20,0.0,Bollinger_Breakdown,20,0.0,Broker,20,100000.0,100000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,10dORHV,21,2010-02-02 00:00:00,,,,34.38,,,stockpx,21,2010-02-02 00:00:00,,,,195.7,,,HVStrategy,21,733805.0,Bollinger_Breakout,21,0.0,Bollinger_Breakdown,21,0.0,Broker,21,100000.0,100000.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,10dORHV,22,2010-02-03 00:00:00,,,,34.43,,,stockpx,22,2010-02-03 00:00:00,,,,199.47,,,HVStrategy,22,733806.0,Bollinger_Breakout,22,0.0,Bollinger_Breakdown,22,0.0,Broker,22,100000.0,100000.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,10dORHV,23,2010-02-04 00:00:00,,,,34.76,,,stockpx,23,2010-02-04 00:00:00,,,,192.06,,,HVStrategy,23,733807.0,Bollinger_Breakout,23,0.0,Bollinger_Breakdown,23,0.0,Broker,23,100000.0,100000.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,10dORHV,24,2010-02-05 00:00:00,,,,33.52,,,stockpx,24,2010-02-05 00:00:00,,,,195.63,,,HVStrategy,24,733808.0,Bollinger_Breakout,24,0.0,Bollinger_Breakdown,24,0.0,Broker,24,100000.0,100000.0,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,10dORHV,25,2010-02-08 00:00:00,,,,31.45,,,stockpx,25,2010-02-08 00:00:00,,,,194.32,,,HVStrategy,25,733811.0,Bollinger_Breakout,25,0.0,Bollinger_Breakdown,25,0.0,Broker,25,100000.0,100000.0,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,10dORHV,26,2010-02-09 00:00:00,,,,27.32,,,stockpx,26,2010-02-09 00:00:00,,,,196.23,,,HVStrategy,26,733812.0,Bollinger_Breakout,26,0.0,Bollinger_Breakdown,26,0.0,Broker,26,100000.0,100000.0,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,10dORHV,27,2010-02-10 00:00:00,,,,25.07,,,stockpx,27,2010-02-10 00:00:00,,,,195.04,,,HVStrategy,27,733813.0,Bollinger_Breakout,27,0.0,Bollinger_Breakdown,27,0.0,Broker,27,100000.0,100000.0,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,10dORHV,28,2010-02-11 00:00:00,,,,23.97,,,stockpx,28,2010-02-11 00:00:00,,,,198.78,,,HVStrategy,28,733814.0,Bollinger_Breakout,28,0.0,Bollinger_Breakdown,28,0.0,Broker,28,100000.0,100000.0,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,10dORHV,29,2010-02-12 00:00:00,,,,21.8,,,stockpx,29,2010-02-12 00:00:00,,,,200.46,,,HVStrategy,29,733815.0,Bollinger_Breakout,29,0.0,Bollinger_Breakdown,29,0.0,Broker,29,100000.0,100000.0,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,10dORHV,30,2010-02-16 00:00:00,,,,21.66,,,stockpx,30,2010-02-16 00:00:00,,,,203.43,,,HVStrategy,30,733819.0,Bollinger_Breakout,30,0.0,Bollinger_Breakdown,30,0.0,Broker,30,100000.0,100000.0,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,10dORHV,31,2010-02-17 00:00:00,,,,20.85,,,stockpx,31,2010-02-17 00:00:00,,,,202.55,,,HVStrategy,31,733820.0,Bollinger_Breakout,31,0.0,Bollinger_Breakdown,31,0.0,Broker,31,100000.0,100000.0,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,10dORHV,32,2010-02-18 00:00:00,,,,20.17,,,stockpx,32,2010-02-18 00:00:00,,,,203.04,,,HVStrategy,32,733821.0,Bollinger_Breakout,32,0.0,Bollinger_Breakdown,32,0.0,Broker,32,100000.0,100000.0,BuySell,32,,,BuySell,32,,,DataTrades,32,,
33,10dORHV,33,2010-02-19 00:00:00,,,,17.9,,,stockpx,33,2010-02-19 00:00:00,,,,201.69,,,HVStrategy,33,733822.0,Bollinger_Breakout,33,0.0,Bollinger_Breakdown,33,0.0,Broker,33,100000.0,100000.0,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,10dORHV,34,2010-02-22 00:00:00,,,,17.1,,,stockpx,34,2010-02-22 00:00:00,,,,200.45,,,HVStrategy,34,733825.0,Bollinger_Breakout,34,0.0,Bollinger_Breakdown,34,0.0,Broker,34,100000.0,100000.0,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,10dORHV,35,2010-02-23 00:00:00,,,,18.07,,,stockpx,35,2010-02-23 00:00:00,,,,197.03,,,HVStrategy,35,733826.0,Bollinger_Breakout,35,0.0,Bollinger_Breakdown,35,0.0,Broker,35,100000.0,100000.0,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,10dORHV,36,2010-02-24 00:00:00,,,,18.08,,,stockpx,36,2010-02-24 00:00:00,,,,200.6,,,HVStrategy,36,733827.0,Bollinger_Breakout,36,0.0,Bollinger_Breakdown,36,0.0,Broker,36,100000.0,100000.0,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,10dORHV,37,2010-02-25 00:00:00,,,,20.61,,,stockpx,37,2010-02-25 00:00:00,,,,202.03,,,HVStrategy,37,733828.0,Bollinger_Breakout,37,0.0,Bollinger_Breakdown,37,0.0,Broker,37,100000.0,100000.0,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,10dORHV,38,2010-02-26 00:00:00,,,,19.85,,,stockpx,38,2010-02-26 00:00:00,,,,204.68,,,HVStrategy,38,733829.0,Bollinger_Breakout,38,0.0,Bollinger_Breakdown,38,0.0,Broker,38,100000.0,100000.0,BuySell,38,,,BuySell,38,,,DataTrades,38,,
39,10dORHV,39,2010-03-01 00:00:00,,,,19.97,,,stockpx,39,2010-03-01 00:00:00,,,,208.89,,,HVStrategy,39,733832.0,Bollinger_Breakout,39,1.0,Bollinger_Breakdown,39,0.0,Broker,39,100000.0,100000.0,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,10dORHV,40,2010-03-02 00:00:00,,,,19.97,,,stockpx,40,2010-03-02 00:00:00,,,,208.1,,,HVStrategy,40,733833.0,Bollinger_Breakout,40,0.0,Bollinger_Breakdown,40,0.0,Broker,40,99980.03,100000.0,BuySell,40,19.97,,BuySell,40,,,DataTrades,40,,
41,10dORHV,41,2010-03-03 00:00:00,,,,19.19,,,stockpx,41,2010-03-03 00:00:00,,,,209.39,,,HVStrategy,41,733834.0,Bollinger_Breakout,41,0.0,Bollinger_Breakdown,41,0.0,Broker,41,99980.03,99999.22,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,10dORHV,42,2010-03-04 00:00:00,,,,18.39,,,stockpx,42,2010-03-04 00:00:00,,,,210.32,,,HVStrategy,42,733835.0,Bollinger_Breakout,42,0.0,Bollinger_Breakdown,42,0.0,Broker,42,99980.03,99998.42,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,10dORHV,43,2010-03-05 00:00:00,,,,20.99,,,stockpx,43,2010-03-05 00:00:00,,,,219.21,,,HVStrategy,43,733836.0,Bollinger_Breakout,43,1.0,Bollinger_Breakdown,43,0.0,Broker,43,100001.02,100001.02,BuySell,43,,20.99,BuySell,43,,,DataTrades,43,1.0199999999999996,
44,10dORHV,44,2010-03-08 00:00:00,,,,20.53,,,stockpx,44,2010-03-08 00:00:00,,,,219.14,,,HVStrategy,44,733839.0,Bollinger_Breakout,44,1.0,Bollinger_Breakdown,44,0.0,Broker,44,99980.49,100001.02,BuySell,44,20.53,,BuySell,44,,,DataTrades,44,,
45,10dORHV,45,2010-03-09 00:00:00,,,,21.09,,,stockpx,45,2010-03-09 00:00:00,,,,223.02,,,HVStrategy,45,733840.0,Bollinger_Breakout,45,1.0,Bollinger_Breakdown,45,0.0,Broker,45,99980.49,100001.58,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,10dORHV,46,2010-03-10 00:00:00,,,,20.49,,,stockpx,46,2010-03-10 00:00:00,,,,224.8,,,HVStrategy,46,733841.0,Bollinger_Breakout,46,1.0,Bollinger_Breakdown,46,0.0,Broker,46,99980.49,100000.98000000001,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,10dORHV,47,2010-03-11 00:00:00,,,,17.66,,,stockpx,47,2010-03-11 00:00:00,,,,225.26,,,HVStrategy,47,733842.0,Bollinger_Breakout,47,0.0,Bollinger_Breakdown,47,0.0,Broker,47,99998.15000000001,99998.15000000001,BuySell,47,,17.66,BuySell,47,,,DataTrades,47,-2.870000000000001,
48,10dORHV,48,2010-03-12 00:00:00,,,,18.57,,,stockpx,48,2010-03-12 00:00:00,,,,226.62,,,HVStrategy,48,733843.0,Bollinger_Breakout,48,0.0,Bollinger_Breakdown,48,0.0,Broker,48,99998.15000000001,99998.15000000001,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,10dORHV,49,2010-03-15 00:00:00,,,,19.08,,,stockpx,49,2010-03-15 00:00:00,,,,223.9,,,HVStrategy,49,733846.0,Bollinger_Breakout,49,0.0,Bollinger_Breakdown,49,0.0,Broker,49,99998.15000000001,99998.15000000001,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,10dORHV,50,2010-03-16 00:00:00,,,,18.47,,,stockpx,50,2010-03-16 00:00:00,,,,224.49,,,HVStrategy,50,733847.0,Bollinger_Breakout,50,0.0,Bollinger_Breakdown,50,0.0,Broker,50,99998.15000000001,99998.15000000001,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,10dORHV,51,2010-03-17 00:00:00,,,,18.57,,,stockpx,51,2010-03-17 00:00:00,,,,224.29,,,HVStrategy,51,733848.0,Bollinger_Breakout,51,0.0,Bollinger_Breakdown,51,0.0,Broker,51,99998.15000000001,99998.15000000001,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,10dORHV,52,2010-03-18 00:00:00,,,,18.77,,,stockpx,52,2010-03-18 00:00:00,,,,224.9,,,HVStrategy,52,733849.0,Bollinger_Breakout,52,0.0,Bollinger_Breakdown,52,0.0,Broker,52,99998.15000000001,99998.15000000001,BuySell,52,,,BuySell,52,,,DataTrades,52,,
53,10dORHV,53,2010-03-19 00:00:00,,,,16.37,,,stockpx,53,2010-03-19 00:00:00,,,,221.89,,,HVStrategy,53,733850.0,Bollinger_Breakout,53,0.0,Bollinger_Breakdown,53,0.0,Broker,53,99998.15000000001,99998.15000000001,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,10dORHV,54,2010-03-22 00:00:00,,,,17.86,,,stockpx,54,2010-03-22 00:00:00,,,,225.05,,,HVStrategy,54,733853.0,Bollinger_Breakout,54,0.0,Bollinger_Breakdown,54,0.0,Broker,54,99998.15000000001,99998.15000000001,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,10dORHV,55,2010-03-23 00:00:00,,,,16.58,,,stockpx,55,2010-03-23 00:00:00,,,,228.35,,,HVStrategy,55,733854.0,Bollinger_Breakout,55,0.0,Bollinger_Breakdown,55,0.0,Broker,55,99998.15000000001,99998.15000000001,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,10dORHV,56,2010-03-24 00:00:00,,,,17.42,,,stockpx,56,2010-03-24 00:00:00,,,,229.82,,,HVStrategy,56,733855.0,Bollinger_Breakout,56,0.0,Bollinger_Breakdown,56,0.0,Broker,56,99998.15000000001,99998.15000000001,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,10dORHV,57,2010-03-25 00:00:00,,,,19.02,,,stockpx,57,2010-03-25 00:00:00,,,,226.96,,,HVStrategy,57,733856.0,Bollinger_Breakout,57,0.0,Bollinger_Breakdown,57,0.0,Broker,57,99998.15000000001,99998.15000000001,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,10dORHV,58,2010-03-26 00:00:00,,,,18.63,,,stockpx,58,2010-03-26 00:00:00,,,,230.76,,,HVStrategy,58,733857.0,Bollinger_Breakout,58,0.0,Bollinger_Breakdown,58,0.0,Broker,58,99998.15000000001,99998.15000000001,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,10dORHV,59,2010-03-29 00:00:00,,,,17.48,,,stockpx,59,2010-03-29 00:00:00,,,,232.26,,,HVStrategy,59,733860.0,Bollinger_Breakout,59,0.0,Bollinger_Breakdown,59,0.0,Broker,59,99998.15000000001,99998.15000000001,BuySell,59,,,BuySell,59,,,DataTrades,59,,
60,10dORHV,60,2010-03-30 00:00:00,,,,18.94,,,stockpx,60,2010-03-30 00:00:00,,,,236.01,,,HVStrategy,60,733861.0,Bollinger_Breakout,60,0.0,Bollinger_Breakdown,60,0.0,Broker,60,99998.15000000001,99998.15000000001,BuySell,60,,,BuySell,60,,,DataTrades,60,,
61,10dORHV,61,2010-03-31 00:00:00,,,,18.86,,,stockpx,61,2010-03-31 00:00:00,,,,234.81,,,HVStrategy,61,733862.0,Bollinger_Breakout,61,0.0,Bollinger_Breakdown,61,0.0,Broker,61,99998.15000000001,99998.15000000001,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,10dORHV,62,2010-04-01 00:00:00,,,,20.07,,,stockpx,62,2010-04-01 00:00:00,,,,235.15,,,HVStrategy,62,733863.0,Bollinger_Breakout,62,0.0,Bollinger_Breakdown,62,0.0,Broker,62,99998.15000000001,99998.15000000001,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,10dORHV,63,2010-04-05 00:00:00,,,,20.34,,,stockpx,63,2010-04-05 00:00:00,,,,237.97,,,HVStrategy,63,733867.0,Bollinger_Breakout,63,1.0,Bollinger_Breakdown,63,0.0,Broker,63,99998.15000000001,99998.15000000001,BuySell,63,,,BuySell,63,,,DataTrades,63,,
64,10dORHV,64,2010-04-06 00:00:00,,,,19.02,,,stockpx,64,2010-04-06 00:00:00,,,,239.24,,,HVStrategy,64,733868.0,Bollinger_Breakout,64,0.0,Bollinger_Breakdown,64,0.0,Broker,64,99979.13,99998.15000000001,BuySell,64,19.02,,BuySell,64,,,DataTrades,64,,
65,10dORHV,65,2010-04-07 00:00:00,,,,18.4,,,stockpx,65,2010-04-07 00:00:00,,,,240.32,,,HVStrategy,65,733869.0,Bollinger_Breakout,65,0.0,Bollinger_Breakdown,65,0.0,Broker,65,99979.13,99997.53,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,10dORHV,66,2010-04-08 00:00:00,,,,18.34,,,stockpx,66,2010-04-08 00:00:00,,,,240.24,,,HVStrategy,66,733870.0,Bollinger_Breakout,66,0.0,Bollinger_Breakdown,66,0.0,Broker,66,99979.13,99997.47,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,10dORHV,67,2010-04-09 00:00:00,,,,16.76,,,stockpx,67,2010-04-09 00:00:00,,,,241.66,,,HVStrategy,67,733871.0,Bollinger_Breakout,67,0.0,Bollinger_Breakdown,67,0.0,Broker,67,99995.89,99995.89,BuySell,67,,16.76,BuySell,67,,,DataTrades,67,-2.259999999999998,
68,10dORHV,68,2010-04-12 00:00:00,,,,15.43,,,stockpx,68,2010-04-12 00:00:00,,,,242.3,,,HVStrategy,68,733874.0,Bollinger_Breakout,68,0.0,Bollinger_Breakdown,68,0.0,Broker,68,99995.89,99995.89,BuySell,68,,,BuySell,68,,,DataTrades,68,,
69,10dORHV,69,2010-04-13 00:00:00,,,,14.83,,,stockpx,69,2010-04-13 00:00:00,,,,242.47,,,HVStrategy,69,733875.0,Bollinger_Breakout,69,0.0,Bollinger_Breakdown,69,0.0,Broker,69,99995.89,99995.89,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,10dORHV,70,2010-04-14 00:00:00,,,,13.97,,,stockpx,70,2010-04-14 00:00:00,,,,245.56,,,HVStrategy,70,733876.0,Bollinger_Breakout,70,0.0,Bollinger_Breakdown,70,0.0,Broker,70,99995.89,99995.89,BuySell,70,,,BuySell,70,,,DataTrades,70,,
71,10dORHV,71,2010-04-15 00:00:00,,,,14.79,,,stockpx,71,2010-04-15 00:00:00,,,,248.75,,,HVStrategy,71,733877.0,Bollinger_Breakout,71,0.0,Bollinger_Breakdown,71,0.0,Broker,71,99995.89,99995.89,BuySell,71,,,BuySell,71,,,DataTrades,71,,
72,10dORHV,72,2010-04-16 00:00:00,,,,15.28,,,stockpx,72,2010-04-16 00:00:00,,,,247.46,,,HVStrategy,72,733878.0,Bollinger_Breakout,72,0.0,Bollinger_Breakdown,72,0.0,Broker,72,99995.89,99995.89,BuySell,72,,,BuySell,72,,,DataTrades,72,,
73,10dORHV,73,2010-04-19 00:00:00,,,,17.19,,,stockpx,73,2010-04-19 00:00:00,,,,246.84,,,HVStrategy,73,733881.0,Bollinger_Breakout,73,0.0,Bollinger_Breakdown,73,0.0,Broker,73,99995.89,99995.89,BuySell,73,,,BuySell,73,,,DataTrades,73,,
74,10dORHV,74,2010-04-20 00:00:00,,,,18.75,,,stockpx,74,2010-04-20 00:00:00,,,,245.22,,,HVStrategy,74,733882.0,Bollinger_Breakout,74,0.0,Bollinger_Breakdown,74,0.0,Broker,74,99995.89,99995.89,BuySell,74,,,BuySell,74,,,DataTrades,74,,
75,10dORHV,75,2010-04-21 00:00:00,,,,34.31,,,stockpx,75,2010-04-21 00:00:00,,,,259.52,,,HVStrategy,75,733883.0,Bollinger_Breakout,75,1.0,Bollinger_Breakdown,75,0.0,Broker,75,99995.89,99995.89,BuySell,75,,,BuySell,75,,,DataTrades,75,,
76,10dORHV,76,2010-04-22 00:00:00,,,,34.9,,,stockpx,76,2010-04-22 00:00:00,,,,266.09,,,HVStrategy,76,733884.0,Bollinger_Breakout,76,1.0,Bollinger_Breakdown,76,0.0,Broker,76,99960.99,99995.89,BuySell,76,34.9,,BuySell,76,,,DataTrades,76,,
77,10dORHV,77,2010-04-23 00:00:00,,,,35.25,,,stockpx,77,2010-04-23 00:00:00,,,,270.76,,,HVStrategy,77,733885.0,Bollinger_Breakout,77,1.0,Bollinger_Breakdown,77,0.0,Broker,77,99960.99,99996.24,BuySell,77,,,BuySell,77,,,DataTrades,77,,
78,10dORHV,78,2010-04-26 00:00:00,,,,35.63,,,stockpx,78,2010-04-26 00:00:00,,,,269.19,,,HVStrategy,78,733888.0,Bollinger_Breakout,78,1.0,Bollinger_Breakdown,78,0.0,Broker,78,99960.99,99996.62000000001,BuySell,78,,,BuySell,78,,,DataTrades,78,,
79,10dORHV,79,2010-04-27 00:00:00,,,,36.31,,,stockpx,79,2010-04-27 00:00:00,,,,260.95,,,HVStrategy,79,733889.0,Bollinger_Breakout,79,0.0,Bollinger_Breakdown,79,0.0,Broker,79,99997.3,99997.3,BuySell,79,,36.31,BuySell,79,,,DataTrades,79,1.4100000000000037,
80,10dORHV,80,2010-04-28 00:00:00,,,,36.9,,,stockpx,80,2010-04-28 00:00:00,,,,260.86,,,HVStrategy,80,733890.0,Bollinger_Breakout,80,0.0,Bollinger_Breakdown,80,0.0,Broker,80,99997.3,99997.3,BuySell,80,,,BuySell,80,,,DataTrades,80,,
81,10dORHV,81,2010-04-29 00:00:00,,,,37.33,,,stockpx,81,2010-04-29 00:00:00,,,,269.14,,,HVStrategy,81,733891.0,Bollinger_Breakout,81,0.0,Bollinger_Breakdown,81,0.0,Broker,81,99997.3,99997.3,BuySell,81,,,BuySell,81,,,DataTrades,81,,
82,10dORHV,82,2010-04-30 00:00:00,,,,37.35,,,stockpx,82,2010-04-30 00:00:00,,,,261.71,,,HVStrategy,82,733892.0,Bollinger_Breakout,82,0.0,Bollinger_Breakdown,82,0.0,Broker,82,99997.3,99997.3,BuySell,82,,,BuySell,82,,,DataTrades,82,,
83,10dORHV,83,2010-05-03 00:00:00,,,,36.71,,,stockpx,83,2010-05-03 00:00:00,,,,266.25,,,HVStrategy,83,733895.0,Bollinger_Breakout,83,0.0,Bollinger_Breakdown,83,0.0,Broker,83,99997.3,99997.3,BuySell,83,,,BuySell,83,,,DataTrades,83,,
84,10dORHV,84,2010-05-04 00:00:00,,,,36.88,,,stockpx,84,2010-05-04 00:00:00,,,,258.62,,,HVStrategy,84,733896.0,Bollinger_Breakout,84,0.0,Bollinger_Breakdown,84,0.0,Broker,84,99997.3,99997.3,BuySell,84,,,BuySell,84,,,DataTrades,84,,
85,10dORHV,85,2010-05-05 00:00:00,,,,30.4,,,stockpx,85,2010-05-05 00:00:00,,,,255.64,,,HVStrategy,85,733897.0,Bollinger_Breakout,85,0.0,Bollinger_Breakdown,85,0.0,Broker,85,99997.3,99997.3,BuySell,85,,,BuySell,85,,,DataTrades,85,,
86,10dORHV,86,2010-05-06 00:00:00,,,,35.81,,,stockpx,86,2010-05-06 00:00:00,,,,255.21,,,HVStrategy,86,733898.0,Bollinger_Breakout,86,0.0,Bollinger_Breakdown,86,0.0,Broker,86,99997.3,99997.3,BuySell,86,,,BuySell,86,,,DataTrades,86,,
87,10dORHV,87,2010-05-07 00:00:00,,,,40.89,,,stockpx,87,2010-05-07 00:00:00,,,,235.1,,,HVStrategy,87,733899.0,Bollinger_Breakout,87,0.0,Bollinger_Breakdown,87,0.0,Broker,87,99997.3,99997.3,BuySell,87,,,BuySell,87,,,DataTrades,87,,
88,10dORHV,88,2010-05-10 00:00:00,,,,43.06,,,stockpx,88,2010-05-10 00:00:00,,,,253.16,,,HVStrategy,88,733902.0,Bollinger_Breakout,88,0.0,Bollinger_Breakdown,88,0.0,Broker,88,99997.3,99997.3,BuySell,88,,,BuySell,88,,,DataTrades,88,,
